Date : 2023-08-17 11:58:14
Directory : /Users/williamrhoda/Documents/Code/Projects/skenestunts_production
Total : 150 files,  27898 codes, 33162 comments, 5320 blanks, all 66380 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| /Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/config.js                                                   | JavaScript |          4 |          0 |         10 |         14 |
| /Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/images/icon_arrowDown.svg                                   | XML        |          1 |          0 |          0 |          1 |
| /Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/images/icon_arrowUp.svg                                     | XML        |          1 |          0 |          0 |          1 |
| /Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/images/icon_bulb.svg                                        | XML        |          5 |          0 |          1 |          6 |
| /Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/images/icon_check.svg                                       | XML        |          3 |          0 |          1 |          4 |
| /Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/images/icon_chevronsRight.svg                               | XML        |          4 |          0 |          1 |          5 |
| /Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/images/icon_clapperboard.svg                                | XML        |          9 |          0 |          0 |          9 |
| /Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/images/icon_deleteUser.svg                                  | XML        |          6 |          0 |          1 |          7 |
| /Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/images/icon_dropdown.svg                                    | XML        |          1 |          0 |          0 |          1 |
| /Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/images/icon_edit.svg                                        | XML        |          1 |          0 |          0 |          1 |
| /Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/images/icon_email.svg                                       | XML        |          1 |          0 |          0 |          1 |
| /Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/images/icon_facebook.svg                                    | XML        |          3 |          0 |          1 |          4 |
| /Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/images/icon_facebook_white.svg                              | XML        |          9 |          0 |          0 |          9 |
| /Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/images/icon_group.svg                                       | XML        |          9 |          0 |          0 |          9 |
| /Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/images/icon_hourglass.svg                                   | XML        |          9 |          0 |          0 |          9 |
| /Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/images/icon_instagram.svg                                   | XML        |          5 |          0 |          1 |          6 |
| /Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/images/icon_instagram_white.svg                             | XML        |          9 |          0 |          0 |          9 |
| /Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/images/icon_integrity.svg                                   | XML        |          9 |          0 |          0 |          9 |
| /Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/images/icon_integrity2.svg                                  | XML        |          9 |          0 |          0 |          9 |
| /Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/images/icon_level.svg                                       | XML        |          6 |          0 |          1 |          7 |
| /Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/images/icon_link.svg                                        | XML        |          4 |          0 |          1 |          5 |
| /Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/images/icon_mailClosed.svg                                  | XML        |          4 |          0 |          1 |          5 |
| /Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/images/icon_mailOpen.svg                                    | XML        |          4 |          0 |          1 |          5 |
| /Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/images/icon_media.svg                                       | XML        |          6 |          0 |          1 |          7 |
| /Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/images/icon_menu.svg                                        | XML        |          9 |          0 |          0 |          9 |
| /Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/images/icon_note.svg                                        | XML        |          4 |          0 |          1 |          5 |
| /Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/images/icon_performance.svg                                 | XML        |          9 |          0 |          0 |          9 |
| /Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/images/icon_phone.svg                                       | XML        |          1 |          0 |          0 |          1 |
| /Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/images/icon_pin.svg                                         | XML        |          4 |          0 |          1 |          5 |
| /Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/images/icon_play.svg                                        | XML        |          1 |          0 |          0 |          1 |
| /Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/images/icon_popup.svg                                       | XML        |          1 |          0 |          0 |          1 |
| /Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/images/icon_record.svg                                      | XML        |          1 |          0 |          0 |          1 |
| /Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/images/icon_reel.svg                                        | XML        |         10 |          0 |          1 |         11 |
| /Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/images/icon_reels.svg                                       | XML        |          4 |          0 |          1 |          5 |
| /Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/images/icon_refresh.svg                                     | XML        |          6 |          0 |          1 |          7 |
| /Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/images/icon_rewind.svg                                      | XML        |          1 |          0 |          0 |          1 |
| /Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/images/icon_safety.svg                                      | XML        |          6 |          0 |          1 |          7 |
| /Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/images/icon_send.svg                                        | XML        |          1 |          0 |          0 |          1 |
| /Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/images/icon_swap.svg                                        | XML        |          6 |          0 |          1 |          7 |
| /Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/images/icon_trash.svg                                       | XML        |          1 |          0 |          0 |          1 |
| /Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/images/icon_vimeo_white.svg                                 | XML        |          9 |          0 |          0 |          9 |
| /Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/images/imdb_icon.svg                                        | XML        |          9 |          0 |          0 |          9 |
| /Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/index.css                                                   | CSS        |         12 |          0 |          2 |         14 |
| /Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/index.js                                                    | JavaScript |          6 |          0 |         12 |         18 |
| /Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/logo.svg                                                    | XML        |          1 |          0 |          0 |          1 |
| /Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/pages/Admin.css                                             | CSS        |          4 |         53 |         12 |         69 |
| /Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/pages/Admin.js                                              | JavaScript |        234 |         32 |         98 |        364 |
| /Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/pages/Contact.css                                           | CSS        |        114 |          8 |         48 |        170 |
| /Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/pages/Contact.js                                            | JavaScript |         41 |          2 |         36 |         79 |
| /Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/pages/Gallery.css                                           | CSS        |         76 |          0 |         15 |         91 |
| /Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/pages/Gallery.js                                            | JavaScript |         55 |          3 |         32 |         90 |
| /Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/pages/Info.css                                              | CSS        |        638 |         32 |        199 |        869 |
| /Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/pages/Info.js                                               | JavaScript |        306 |         22 |        220 |        548 |
| /Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/pages/Media.css                                             | CSS        |         60 |          1 |          9 |         70 |
| /Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/pages/Media.js                                              | JavaScript |         66 |          2 |         34 |        102 |
| /Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/pages/Reels.css                                             | CSS        |         52 |          5 |         19 |         76 |
| /Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/pages/Reels.js                                              | JavaScript |         42 |          2 |         46 |         90 |
| /Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/pages/Team.css                                              | CSS        |        273 |         55 |        123 |        451 |
| /Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/pages/Team.js                                               | JavaScript |        148 |          4 |         89 |        241 |
| /Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/pages/UpdatePerformer.css                                   | CSS        |          6 |          0 |          8 |         14 |
| /Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/pages/UpdatePerformer.js                                    | JavaScript |         62 |          4 |         38 |        104 |
| /Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/reportWebVitals.js                                          | JavaScript |         12 |          0 |          2 |         14 |
| /Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/setupTests.js                                               | JavaScript |          1 |          4 |          1 |          6 |
| Total                                                                                                                              |            |     27,898 |     33,162 |      5,320 |     66,380 |
+------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
